product_name,categories_en,energy-kcal_100g,carbohydrates_100g,proteins_100g,fat_100g,fiber_100g
"Pinto Bean","Asian-style-ready-meal","261.4","22.5","17.5","10.2","3.8"
"Croquetas de bacalao","","204.9","18.1","5.9","12.1",""
"Keto & GF Granola","","580.645161290323","19.3548387096774","19.6774193548387","54.8387096774194","9.67741935483871"
"Ben's Pure Maple Cream","","532","59.12","5.68","30.28",""
"Guimauve chocolat smarties","","472","69","5.7","19",""
"Thaï Red Curry (produit préparé)","","58","11","1.39999997615814","0.600000023841858","0.699999988079071"
"Nouilles vietnamiennes bœuf","","50.2439024390244","2.4390243902439","0.292682938459443","0.268292688741917","0.121951219512195"
"pasta","Beverages and beverages preparations,Beverages","166","20","6.7","6.4","0.8"
"Dunnes Stores Irish Beef & Pork Quarter Pounders","","176.656413666971","2.52173913043478","15.6521739130435","11.304347826087","0.782608695652174"
"Organic Molasses","","351.25","57.27","6.78","8.3",""
"Protein Plenty Tamarind Almonds","","617.5","7.5","27.5","50","11"
"Sweet chilli toasted cashews","","590","30","18","42.5","3"
"About half a mango","","311","77","2.7","0.8","8.8"
"Mamma Mia  American BBQ","","31","6.90000009536743","0.5","0.5",""
"Eirn original curry Sauce","Plant-based foods and beverages,Plant-based foods,Condiments,Spices,Curry-powder,Powder,Sauce-powder","411","57.2","5.2","18","1.2"
"Donut Milka","Snacks,Sweet snacks,Biscuits and cakes,Cakes,Doughnuts","465","46.5","6","28",""
"Collagen Elixir","","104","16","10","0",""
"Véritable pâte à tartiner noisettes chocolat noir","Breakfasts,Spreads,Sweet spreads,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads","617","36","8","48",""
"Mix moderne de Noël blanc et or","","399","95","0.3","2","0"
"Familjepack Schnitzel Frysta","Plant-based foods and beverages,Plant-based foods,Meat alternatives,Meat analogues,Vegetarian patties,Vegan patties","223","11.8","13.5","12","6.2"
"Focaccia Tomat","","261","50","7.7","2.1",""
"Fit Piggy Snickers Twist","","466","35","23","27",""
"Bonbons Miel et Citron","","310","31.8","21.1","14.3",""
"Fit Piggy Brownie","","289","25.7","21.2","15.7",""
"Crème oignon","","47","11","5","12","9"
"Saucisson fin maigre","","294","1.6","27.9","19.5",""
"Petit Bride Fin Maigre VPF","","315","1.8","30","20.8",""
"Chorizo courbe","","425","5","22","35",""
"Sandwich tomate, J serrano y queso.","","269","19.299999237061","17.60000038147","13",""
"SAND. BLANCO MORTADELA PESTO Y QUESO","","304","19.3","12.5","19.3",""
"Chorizo","Meats and their products,Meats,Prepared meats,Cured sausages,Chorizo","434","0","0","36.700000762939",""
"Chorizo","Meats and their products,Meats,Prepared meats,Cured sausages,Chorizo","428","5.0999999046326","22.299999237061","35.299999237061",""
"L'originel 1871","","406","1.5","26.4","31.6",""
"Le petit bridé","","327","1.9","29.5","22.3",""
"Saucisson","","327","1.9","29.5","23",""
"Poutargue de mulet","Seafood,Fishes and their products,Fishes,Lean fishes,Mullet","377","2.4","40.5","22.7",""
"Coca cola","Beverages,Carbonated drinks,Sodas,Colas","42","10.6","0","27","0"
"Saucisson sec au piment d'espelette","Meats and their products,Meats,Prepared meats,Cured sausages,Dry sausages","400","0.9","24.1","33.3",""
"Saucisson sec au noisettes","","432","0.6","0.6","36.1",""
"Saucisse sèche","","338","1.5","28.3","24.2",""
"Chorizo Brasse","","430.4","5","20.9","36.7",""
"Chorizo","Meats and their products,Meats,Prepared meats,Cured sausages,Chorizo","434","5","20.9","36.7",""
"Chorizo Brasse","","434","5","20.9","36.7",""
"Chorizo Brasse fort fumé","","434","5","20.9","36.7",""
"Rosmarin Kartoffeln Maggi","","470","70","7.30000019073486","17","3.90000009536743"
"Perche fin maigre","","336","1.5","28.3","24.2",""
"Chorizo brasse fort fume","","434","5","20.9","36.7",""
"Coop Fine Frokostbrød 90g","","500","40","20","40",""
"Chorizo","","434","5","20.9","36.7",""
"Chorizo brasse fort fumé","","434","5","20.9","36.7",""
"Zuppa al gusto Asparagi","","331","5.9","67","3.1",""
"Sandwich multicereal queso con nueces","","280","20.1","8.7","17.5",""
"Sand. Integral atun-pimiento","","283","14.7","12.8","18.8",""
